#    L    TT             EE             BB             TE             PP             TP             EP          
   206   0.552282E+04   0.646223E+00   0.000000E+00  -0.613583E+01   0.491801E-07   0.137301E-03  -0.234612E-06
   207   0.553131E+04   0.651699E+00   0.000000E+00  -0.478055E+01   0.489226E-07   0.136163E-03  -0.219553E-06
   208   0.553907E+04   0.658240E+00   0.000000E+00  -0.340708E+01   0.486671E-07   0.135035E-03  -0.204572E-06
   209   0.554624E+04   0.665868E+00   0.000000E+00  -0.201580E+01   0.484138E-07   0.133915E-03  -0.189668E-06
   210   0.555282E+04   0.674633E+00   0.000000E+00  -0.607571E+00   0.481626E-07   0.132803E-03  -0.174842E-06
   211   0.555882E+04   0.684565E+00   0.000000E+00   0.817542E+00   0.479134E-07   0.131701E-03  -0.160094E-06
   212   0.556408E+04   0.695693E+00   0.000000E+00   0.225862E+01   0.476662E-07   0.130606E-03  -0.145422E-06
   213   0.556882E+04   0.708059E+00   0.000000E+00   0.371572E+01   0.474211E-07   0.129520E-03  -0.130827E-06
   214   0.557290E+04   0.721656E+00   0.000000E+00   0.518764E+01   0.471780E-07   0.128443E-03  -0.116309E-06
   215   0.557639E+04   0.736676E+00   0.000000E+00   0.667366E+01   0.469368E-07   0.127374E-03  -0.101866E-06
   216   0.557922E+04   0.752932E+00   0.000000E+00   0.817431E+01   0.466976E-07   0.126313E-03  -0.874996E-07
   217   0.558153E+04   0.770580E+00   0.000000E+00   0.968758E+01   0.464604E-07   0.125261E-03  -0.732086E-07
   218   0.558319E+04   0.789618E+00   0.000000E+00   0.112137E+02   0.462251E-07   0.124217E-03  -0.589929E-07
   219   0.558425E+04   0.810046E+00   0.000000E+00   0.127537E+02   0.459917E-07   0.123181E-03  -0.448523E-07
   220   0.558472E+04   0.832011E+00   0.000000E+00   0.143031E+02   0.457601E-07   0.122153E-03  -0.307865E-07
   221   0.558460E+04   0.855438E+00   0.000000E+00   0.158641E+02   0.455305E-07   0.121133E-03  -0.167953E-07
   222   0.558389E+04   0.880474E+00   0.000000E+00   0.174352E+02   0.453027E-07   0.120121E-03  -0.287830E-08
   223   0.558245E+04   0.907045E+00   0.000000E+00   0.190173E+02   0.450767E-07   0.119117E-03   0.109647E-07
   224   0.558056E+04   0.935150E+00   0.000000E+00   0.206066E+02   0.448525E-07   0.118121E-03   0.247339E-07
   225   0.557801E+04   0.964936E+00   0.000000E+00   0.222061E+02   0.446302E-07   0.117133E-03   0.384297E-07
   226   0.557486E+04   0.996403E+00   0.000000E+00   0.238120E+02   0.444096E-07   0.116152E-03   0.520523E-07
   227   0.557106E+04   0.102955E+01   0.000000E+00   0.254260E+02   0.441907E-07   0.115179E-03   0.656019E-07
   228   0.556673E+04   0.106437E+01   0.000000E+00   0.270464E+02   0.439736E-07   0.114214E-03   0.790789E-07
   229   0.556182E+04   0.110095E+01   0.000000E+00   0.286719E+02   0.437582E-07   0.113257E-03   0.924834E-07
