#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   127   0.352030E+04  -0.382125E+02   0.283224E-03  -0.382125E+02   0.101554E+01  -0.756181E-06   0.283224E-03  -0.756181E-06   0.784561E-07
   128   0.355408E+04  -0.386658E+02   0.280202E-03  -0.386658E+02   0.102106E+01  -0.775960E-06   0.280202E-03  -0.775960E-06   0.779467E-07
   129   0.358792E+04  -0.391047E+02   0.277233E-03  -0.391047E+02   0.102607E+01  -0.793744E-06   0.277233E-03  -0.793744E-06   0.774416E-07
   130   0.362174E+04  -0.395285E+02   0.274319E-03  -0.395285E+02   0.103058E+01  -0.809077E-06   0.274319E-03  -0.809077E-06   0.769407E-07
   131   0.365554E+04  -0.399388E+02   0.271459E-03  -0.399388E+02   0.103473E+01  -0.821609E-06   0.271459E-03  -0.821609E-06   0.764441E-07
   132   0.368940E+04  -0.403325E+02   0.268650E-03  -0.403325E+02   0.103838E+01  -0.831418E-06   0.268650E-03  -0.831418E-06   0.759517E-07
   133   0.372317E+04  -0.407119E+02   0.265893E-03  -0.407119E+02   0.104160E+01  -0.838689E-06   0.265893E-03  -0.838689E-06   0.754634E-07
   134   0.375692E+04  -0.410726E+02   0.263184E-03  -0.410726E+02   0.104439E+01  -0.843606E-06   0.263184E-03  -0.843606E-06   0.749794E-07
   135   0.379065E+04  -0.414176E+02   0.260523E-03  -0.414176E+02   0.104667E+01  -0.846353E-06   0.260523E-03  -0.846353E-06   0.744995E-07
   136   0.382422E+04  -0.417433E+02   0.257907E-03  -0.417433E+02   0.104845E+01  -0.847115E-06   0.257907E-03  -0.847115E-06   0.740236E-07
   137   0.385778E+04  -0.420518E+02   0.255335E-03  -0.420518E+02   0.104981E+01  -0.846076E-06   0.255335E-03  -0.846076E-06   0.735519E-07
   138   0.389125E+04  -0.423418E+02   0.252806E-03  -0.423418E+02   0.105066E+01  -0.843421E-06   0.252806E-03  -0.843421E-06   0.730841E-07
   139   0.392449E+04  -0.426126E+02   0.250318E-03  -0.426126E+02   0.105116E+01  -0.839334E-06   0.250318E-03  -0.839334E-06   0.726204E-07
   140   0.395780E+04  -0.428648E+02   0.247868E-03  -0.428648E+02   0.105109E+01  -0.833999E-06   0.247868E-03  -0.833999E-06   0.721606E-07
   141   0.399087E+04  -0.430964E+02   0.245456E-03  -0.430964E+02   0.105051E+01  -0.827602E-06   0.245456E-03  -0.827602E-06   0.717048E-07
   142   0.402394E+04  -0.433082E+02   0.243080E-03  -0.433082E+02   0.104951E+01  -0.820326E-06   0.243080E-03  -0.820326E-06   0.712529E-07
   143   0.405693E+04  -0.435000E+02   0.240738E-03  -0.435000E+02   0.104808E+01  -0.812356E-06   0.240738E-03  -0.812356E-06   0.708049E-07
   144   0.408969E+04  -0.436713E+02   0.238429E-03  -0.436713E+02   0.104615E+01  -0.803876E-06   0.238429E-03  -0.803876E-06   0.703607E-07
   145   0.412231E+04  -0.438214E+02   0.236151E-03  -0.438214E+02   0.104387E+01  -0.795071E-06   0.236151E-03  -0.795071E-06   0.699203E-07
   146   0.415499E+04  -0.439502E+02   0.233902E-03  -0.439502E+02   0.104102E+01  -0.786125E-06   0.233902E-03  -0.786125E-06   0.694837E-07
   147   0.418730E+04  -0.440563E+02   0.231680E-03  -0.440563E+02   0.103781E+01  -0.777223E-06   0.231680E-03  -0.777223E-06   0.690509E-07
   148   0.421947E+04  -0.441413E+02   0.229484E-03  -0.441413E+02   0.103411E+01  -0.768548E-06   0.229484E-03  -0.768548E-06   0.686218E-07
   149   0.425156E+04  -0.442037E+02   0.227313E-03  -0.442037E+02   0.102998E+01  -0.760287E-06   0.227313E-03  -0.760287E-06   0.681964E-07
   150   0.428336E+04  -0.442413E+02   0.225164E-03  -0.442413E+02   0.102550E+01  -0.752622E-06   0.225164E-03  -0.752622E-06   0.677747E-07
   151   0.431502E+04  -0.442572E+02   0.223037E-03  -0.442572E+02   0.102060E+01  -0.745698E-06   0.223037E-03  -0.745698E-06   0.673565E-07
   152   0.434638E+04  -0.442497E+02   0.220931E-03  -0.442497E+02   0.101520E+01  -0.739493E-06   0.220931E-03  -0.739493E-06   0.669420E-07
   153   0.437760E+04  -0.442168E+02   0.218846E-03  -0.442168E+02   0.100946E+01  -0.733946E-06   0.218846E-03  -0.733946E-06   0.665311E-07
   154   0.440860E+04  -0.441606E+02   0.216782E-03  -0.441606E+02   0.100336E+01  -0.728995E-06   0.216782E-03  -0.728995E-06   0.661237E-07
