#    L    TT             EE             TE             PP             TP          
   255   0.522593E+04   0.273779E+01   0.706994E+02   0.179216E+07   0.154697E+04
   256   0.520575E+04   0.282930E+01   0.722189E+02   0.178407E+07   0.153387E+04
   257   0.518512E+04   0.292277E+01   0.737185E+02   0.177603E+07   0.152087E+04
   258   0.516398E+04   0.301857E+01   0.752109E+02   0.176805E+07   0.150798E+04
   259   0.514238E+04   0.311655E+01   0.766810E+02   0.176012E+07   0.149519E+04
   260   0.512042E+04   0.321672E+01   0.781440E+02   0.175225E+07   0.148250E+04
   261   0.509794E+04   0.331899E+01   0.795774E+02   0.174443E+07   0.146990E+04
   262   0.507494E+04   0.342360E+01   0.810036E+02   0.173667E+07   0.145741E+04
   263   0.505179E+04   0.353032E+01   0.824151E+02   0.172896E+07   0.144502E+04
   264   0.502805E+04   0.363922E+01   0.838046E+02   0.172131E+07   0.143272E+04
   265   0.500378E+04   0.375024E+01   0.851646E+02   0.171371E+07   0.142051E+04
   266   0.497922E+04   0.386359E+01   0.865174E+02   0.170616E+07   0.140841E+04
   267   0.495415E+04   0.397891E+01   0.878407E+02   0.169866E+07   0.139639E+04
   268   0.492870E+04   0.409656E+01   0.891495E+02   0.169121E+07   0.138447E+04
   269   0.490273E+04   0.421625E+01   0.904363E+02   0.168382E+07   0.137265E+04
   270   0.487653E+04   0.433806E+01   0.917011E+02   0.167647E+07   0.136091E+04
   271   0.484990E+04   0.446191E+01   0.929438E+02   0.166918E+07   0.134926E+04
   272   0.482304E+04   0.458810E+01   0.941572E+02   0.166193E+07   0.133770E+04
   273   0.479574E+04   0.471604E+01   0.953561E+02   0.165474E+07   0.132624E+04
   274   0.476814E+04   0.484631E+01   0.965182E+02   0.164759E+07   0.131485E+04
   275   0.474016E+04   0.497841E+01   0.976658E+02   0.164049E+07   0.130356E+04
   276   0.471197E+04   0.511255E+01   0.987766E+02   0.163344E+07   0.129235E+04
   277   0.468333E+04   0.524873E+01   0.998729E+02   0.162644E+07   0.128122E+04
   278   0.465447E+04   0.538689E+01   0.100932E+03   0.161948E+07   0.127018E+04
   279   0.462532E+04   0.552695E+01   0.101963E+03   0.161257E+07   0.125922E+04
   280   0.459586E+04   0.566890E+01   0.102978E+03   0.160570E+07   0.124835E+04
   281   0.456626E+04   0.581283E+01   0.103958E+03   0.159888E+07   0.123755E+04
   282   0.453622E+04   0.595843E+01   0.104907E+03   0.159211E+07   0.122683E+04
   283   0.450603E+04   0.610593E+01   0.105828E+03   0.158538E+07   0.121620E+04
   284   0.447561E+04   0.625526E+01   0.106719E+03   0.157869E+07   0.120564E+04
   285   0.444498E+04   0.640642E+01   0.107581E+03   0.157205E+07   0.119515E+04
   286   0.441404E+04   0.655926E+01   0.108407E+03   0.156545E+07   0.118475E+04
   287   0.438289E+04   0.671377E+01   0.109210E+03   0.155890E+07   0.117441E+04
   288   0.435159E+04   0.686997E+01   0.109977E+03   0.155238E+07   0.116416E+04
   289   0.432007E+04   0.702777E+01   0.110715E+03   0.154591E+07   0.115397E+04
   290   0.428840E+04   0.718703E+01   0.111424E+03   0.153948E+07   0.114386E+04
   291   0.425658E+04   0.734850E+01   0.112088E+03   0.153309E+07   0.113382E+04
   292   0.422432E+04   0.751105E+01   0.112731E+03   0.152674E+07   0.112385E+04
   293   0.419220E+04   0.767432E+01   0.113330E+03   0.152043E+07   0.111395E+04
   294   0.415979E+04   0.783980E+01   0.113907E+03   0.151416E+07   0.110412E+04
   295   0.412746E+04   0.800599E+01   0.114440E+03   0.150792E+07   0.109435E+04
   296   0.409483E+04   0.817439E+01   0.114944E+03   0.150173E+07   0.108465E+04
   297   0.406213E+04   0.834276E+01   0.115419E+03   0.149557E+07   0.107502E+04
   298   0.402921E+04   0.851335E+01   0.115850E+03   0.148946E+07   0.106545E+04
   299   0.399629E+04   0.868539E+01   0.116245E+03   0.148337E+07   0.105595E+04
   300   0.396322E+04   0.885742E+01   0.116603E+03   0.147733E+07   0.104651E+04
   301   0.393008E+04   0.903091E+01   0.116932E+03   0.147132E+07   0.103713E+04
   302   0.389694E+04   0.920513E+01   0.117232E+03   0.146535E+07   0.102781E+04
   303   0.386372E+04   0.938081E+01   0.117488E+03   0.145941E+07   0.101855E+04
   304   0.383044E+04   0.955797E+01   0.117700E+03   0.145351E+07   0.100936E+04
   305   0.379715E+04   0.973511E+01   0.117883E+03   0.144764E+07   0.100023E+04
   306   0.376379E+04   0.991298E+01   0.118029E+03   0.144181E+07   0.991160E+03
   307   0.373043E+04   0.100916E+02   0.118132E+03   0.143601E+07   0.982153E+03
   308   0.369707E+04   0.102724E+02   0.118212E+03   0.143025E+07   0.973208E+03
   309   0.366379E+04   0.104525E+02   0.118242E+03   0.142452E+07   0.964325E+03
   310   0.363043E+04   0.106325E+02   0.118242E+03   0.141882E+07   0.955504E+03
   311   0.359715E+04   0.108148E+02   0.118198E+03   0.141316E+07   0.946746E+03
   312   0.356393E+04   0.109964E+02   0.118125E+03   0.140753E+07   0.938051E+03
   313   0.353072E+04   0.111786E+02   0.118008E+03   0.140193E+07   0.929417E+03
   314   0.349758E+04   0.113617E+02   0.117862E+03   0.139637E+07   0.920847E+03
   315   0.346452E+04   0.115440E+02   0.117672E+03   0.139084E+07   0.912339E+03
   316   0.343153E+04   0.117270E+02   0.117445E+03   0.138534E+07   0.903893E+03
   317   0.339861E+04   0.119093E+02   0.117181E+03   0.137987E+07   0.895510E+03
   318   0.336576E+04   0.120930E+02   0.116881E+03   0.137444E+07   0.887191E+03
   319   0.333306E+04   0.122761E+02   0.116544E+03   0.136904E+07   0.878933E+03
   320   0.330051E+04   0.124591E+02   0.116178E+03   0.136366E+07   0.870739E+03
